,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,2,300791,116698,Paul,SerongWayToTheTop,2,0,0,3495,3289,8,1
0,2,180650,118554,Jordan,Hornehub,2,0,0,3268,3074,8,2
0,2,45168,116793,Luke,Duke Newcombe,1,0,1,3650,3517,4,3
0,2,21562,116970,Mark,Sheez Nutz,1,0,1,3383,3533,4,4
0,2,86078,116859,Lester,Grand Theft Zorko,1,0,1,3337,3315,4,5
0,2,8258,118706,Simon,Meeky Blinders,1,0,1,3023,2880,4,6
0,2,10857,116887,Anthony,Work From Holmes,0,0,2,3157,3507,0,7
0,2,71052,117113,James,Baker-Street Boys,0,0,2,2954,3152,0,8
0,2,300791,116698,Paul,SerongWayToTheTop,2,0,0,3495,3289,8,1
0,2,180650,118554,Jordan,Hornehub,2,0,0,3268,3074,8,2
0,2,45168,116793,Luke,Duke Newcombe,1,0,1,3650,3517,4,3
0,2,21562,116970,Mark,Sheez Nutz,1,0,1,3383,3533,4,4
0,2,86078,116859,Lester,Grand Theft Zorko,1,0,1,3337,3315,4,5
0,2,8258,118706,Simon,Meeky Blinders,1,0,1,3023,2880,4,6
0,2,10857,116887,Anthony,Work From Holmes,0,0,2,3157,3507,0,7
0,2,71052,117113,James,Baker-Street Boys,0,0,2,2954,3152,0,8
0,2,300791,116698,Paul,SerongWayToTheTop,2,0,0,3495,3289,8,1
0,2,180650,118554,Jordan,Hornehub,2,0,0,3268,3074,8,2
0,2,45168,116793,Luke,Duke Newcombe,1,0,1,3650,3517,4,3
0,2,21562,116970,Mark,Sheez Nutz,1,0,1,3383,3533,4,4
0,2,86078,116859,Lester,Grand Theft Zorko,1,0,1,3337,3315,4,5
0,2,8258,118706,Simon,Meeky Blinders,1,0,1,3023,2880,4,6
0,2,10857,116887,Anthony,Work From Holmes,0,0,2,3157,3507,0,7
0,2,71052,117113,James,Baker-Street Boys,0,0,2,2954,3152,0,8
0,2,300791,116698,Paul,SerongWayToTheTop,2,0,0,3495,3289,8,1
0,2,180650,118554,Jordan,Hornehub,2,0,0,3268,3074,8,2
0,2,45168,116793,Luke,Duke Newcombe,1,0,1,3650,3517,4,3
0,2,21562,116970,Mark,Sheez Nutz,1,0,1,3383,3533,4,4
0,2,86078,116859,Lester,Grand Theft Zorko,1,0,1,3337,3315,4,5
0,2,8258,118706,Simon,Meeky Blinders,1,0,1,3023,2880,4,6
0,2,10857,116887,Anthony,Work From Holmes,0,0,2,3157,3507,0,7
0,2,71052,117113,James,Baker-Street Boys,0,0,2,2954,3152,0,8
0,2,300791,116698,Paul,SerongWayToTheTop,2,0,0,3495,3289,8,1
0,2,180650,118554,Jordan,Hornehub,2,0,0,3268,3074,8,2
0,2,45168,116793,Luke,Duke Newcombe,1,0,1,3650,3517,4,3
0,2,21562,116970,Mark,Sheez Nutz,1,0,1,3383,3533,4,4
0,2,86078,116859,Lester,Grand Theft Zorko,1,0,1,3337,3315,4,5
